text,label
I need urgent help now,OTHER
My chest hurts,OTHER
The waiting room music is nice,OTHER
"Hi, nice to meet you",OTHER
Hey there,OTHER
Glad to be here,OTHER
Much appreciated,OTHER
I'm frustrated with this process,OTHER
You're the best,OTHER
You're the best. See you later,OTHER
I'm on vacation next week,OTHER
How are you doing today?,OTHER
This is really confusing,OTHER
Howdy,OTHER
Thanks again for everything,OTHER
I feel ignored,OTHER
Good evening,OTHER
I like this place,OTHER
I'm frustrated with this process. Talk soon,OTHER
I'm not sure I'm getting the answers I need,OTHER
How are you doing today?. Talk soon,OTHER
No one is helping me,OTHER
The waiting room music is nice. Okay bye,OTHER
I need urgent help now. Cool thanks,OTHER
Thank you kindly. That's all,OTHER
My dog is sick,OTHER
I'm not having a good experience right now,OTHER
Thanks a bunch,OTHER
This is my favorite clinic. Cool thanks,OTHER
Yo what's up,OTHER
This is an emergency,OTHER
My dog is sick. That's all,OTHER
Call 911,OTHER
Call 911. Okay bye,OTHER
You’ve been so helpful,OTHER
I had a great day. See you later,OTHER
I'm feeling overwhelmed,OTHER
What's new with you?,OTHER
I just moved to this city,OTHER
Good morning,OTHER
It’s raining outside,OTHER
I'm not sure I'm getting the answers I need. Talk soon,OTHER
My mom likes this clinic too,OTHER
This is really confusing. Talk soon,OTHER
Thanks a bunch. Talk soon,OTHER
I feel ignored. See you later,OTHER
I really appreciate your time. Talk soon,OTHER
I really appreciate your time,OTHER
This is my favorite clinic,OTHER
I'm feeling overwhelmed. Cool thanks,OTHER
This call is making me upset,OTHER
This is really confusing. Okay bye,OTHER
Help me I'm dying,OTHER
I had a great day,OTHER
Thanks for checking in,OTHER
Good morning. See you later,OTHER
I'm bleeding,OTHER
The waiting room music is nice. See you later,OTHER
This is my favorite clinic. That's all,OTHER
I had a great day. Okay bye,OTHER
I just moved to this city. Talk soon,OTHER
Long time no see,OTHER
You're the best. Okay bye,OTHER
Thanks again for everything. Talk soon,OTHER
I'm bleeding. Cool thanks,OTHER
I had a great day. That's all,OTHER
It’s raining outside. That's all,OTHER
Help me I'm dying. See you later,OTHER
Howdy. Cool thanks,OTHER
I can't breathe,OTHER
Glad to be here. Okay bye,OTHER
"Hi, nice to meet you. See you later",OTHER
What do I do if I'm having a heart attack?,OTHER
I'm bleeding. Talk soon,OTHER
Thank you kindly,OTHER
I like this place. See you later,OTHER
Much appreciated. That's all,OTHER
I'm feeling overwhelmed. Okay bye,OTHER
You’ve been so helpful. See you later,OTHER
How are you doing today?. See you later,OTHER
You're the best. That's all,OTHER
What do I do if I'm having a heart attack?. See you later,OTHER
I'm bleeding. See you later,OTHER
I'm feeling overwhelmed. That's all,OTHER
How’s it going?,OTHER
Hey there. See you later,OTHER
Yo what's up. That's all,OTHER
Howdy. Talk soon,OTHER
It’s raining outside. See you later,OTHER
I'm not having a good experience right now. That's all,OTHER
I just moved to this city. Okay bye,OTHER
How’s it going?. Cool thanks,OTHER
It’s raining outside. Talk soon,OTHER
I just moved to this city. See you later,OTHER
Good evening. That's all,OTHER
My dog is sick. See you later,OTHER
Thanks for checking in. Talk soon,OTHER
This is an emergency. Cool thanks,OTHER
I really appreciate your time. See you later,OTHER
Call 911. Talk soon,OTHER
Thank you kindly. Okay bye,OTHER
This is an emergency. Talk soon,OTHER
Thanks for checking in. See you later,OTHER
This is an emergency. That's all,OTHER
Thank you kindly. Talk soon,OTHER
My chest hurts. Okay bye,OTHER
What's new with you?. See you later,OTHER
Glad to be here. Talk soon,OTHER
I'm not sure I'm getting the answers I need. See you later,OTHER
What's new with you?. Okay bye,OTHER
The waiting room music is nice. That's all,OTHER
It’s raining outside. Cool thanks,OTHER
The waiting room music is nice. Talk soon,OTHER
Thanks for checking in. Cool thanks,OTHER
Thank you kindly. Cool thanks,OTHER
Call 911. Cool thanks,OTHER
This is my favorite clinic. Okay bye,OTHER
I'm feeling overwhelmed. Talk soon,OTHER
You’ve been so helpful. Okay bye,OTHER
No one is helping me. Okay bye,OTHER
How’s it going?. See you later,OTHER
"Hi, nice to meet you. Talk soon",OTHER
I'm on vacation next week. That's all,OTHER
My dog is sick. Talk soon,OTHER
I'm bleeding. That's all,OTHER
This call is making me upset. Talk soon,OTHER
Much appreciated. Cool thanks,OTHER
"Hi, nice to meet you. That's all",OTHER
I need urgent help now. See you later,OTHER
Glad to be here. See you later,OTHER
Long time no see. Cool thanks,OTHER
I feel ignored. Okay bye,OTHER
I can't breathe. See you later,OTHER
Thanks again for everything. That's all,OTHER
I like this place. That's all,OTHER
Yo what's up. Cool thanks,OTHER
I really appreciate your time. Okay bye,OTHER
I really appreciate your time. That's all,OTHER
Long time no see. Okay bye,OTHER
Good evening. Talk soon,OTHER
This call is making me upset. See you later,OTHER
I had a great day. Talk soon,OTHER
I really appreciate your time. Cool thanks,OTHER
Good morning. Okay bye,OTHER
Hey there. Cool thanks,OTHER
I can't breathe. Cool thanks,OTHER
This is an emergency. See you later,OTHER
How are you doing today?. Okay bye,OTHER
This is really confusing. See you later,OTHER
No one is helping me. Cool thanks,OTHER
